apple	苹果
wandering_trader_spawn_egg	生成流浪商人
ravager_spawn_egg	生成劫掠兽
bee_spawn_egg	生成蜜蜂
strider_spawn_egg	生成炽足兽
hoglin_spawn_egg	生成疣猪兽
piglin_spawn_egg	生成猪灵
zoglin_spawn_egg	生成僵尸疣猪兽
piglin_brute_spawn_egg	生成猪灵蛮兵
sniffer_spawn_egg	生成嗅探兽
axolotl_spawn_egg	生成美西螈
goat_spawn_egg	生成山羊
glow_squid_spawn_egg	生成发光鱿鱼
iron_golem_spawn_egg	生成铁傀儡
snow_golem_spawn_egg	生成雪傀儡
ender_dragon_spawn_egg	生成末影龙
wither_spawn_egg	生成凋灵
glow_ink_sac	荧光墨囊
copper_ingot	铜锭
raw_iron	粗铁
raw_gold	粗金
raw_copper	粗铜
experience_bottle	附魔之瓶
fire_charge	火焰弹
writable_book	书与笔
written_book	成书
emerald	绿宝石
frame	物品展示框
flower_pot	花盆
empty_map	空地图
skull	生物头颅
carrot_on_a_stick	胡萝卜钓竿
nether_star	下界之星
firework_rocket	烟花火箭
firework_star	烟火之星
enchanted_book	附魔书
comparator	红石比较器
netherbrick	下界砖
quartz	下界石英
tnt_minecart	TNT矿车
hopper_minecart	漏斗矿车
hopper	漏斗
rabbit_foot	兔子脚
rabbit_hide	兔子皮
leather_horse_armor	皮革马铠
iron_horse_armor	铁马铠
golden_horse_armor	金马铠
diamond_horse_armor	钻石马铠
music_disc_13	音乐唱片（13）
music_disc_cat	音乐唱片（cat）
music_disc_blocks	音乐唱片（blocks）
music_disc_chirp	音乐唱片（chirp）
music_disc_far	音乐唱片（far）
music_disc_mall	音乐唱片（mall）
music_disc_mellohi	音乐唱片（mellohi）
music_disc_stal	音乐唱片（stal）
music_disc_strad	音乐唱片（strad）
music_disc_ward	音乐唱片（ward）
music_disc_11	音乐唱片（11）
music_disc_wait	音乐唱片（wait）
trident	三叉戟
lead	拴绳
name_tag	命名牌
prismarine_crystals	海晶砂粒
mutton	生羊肉
cooked_mutton	熟羊肉
armor_stand	盔甲架
spruce_door	云杉木门
birch_door	白桦木门
jungle_door	丛林木门
acacia_door	金合欢木门
dark_oak_door	深色橡木门
chorus_fruit	紫颂果
popped_chorus_fruit	爆裂紫颂果
dragon_breath	龙息
splash_potion	喷溅药水
lingering_potion	滞留药水
command_block_minecart	命令方块矿车
elytra	鞘翅
prismarine_shard	海晶碎片
shulker_shell	潜影壳
banner	旗帜
totem_of_undying	不死图腾
iron_nugget	铁粒
nautilus_shell	鹦鹉螺壳
heart_of_the_sea	海洋之心
scute	鳞甲
turtle_helmet	海龟壳
phantom_membrane	幻翼膜
crossbow	弩
spruce_sign	云杉木告示牌
birch_sign	白桦木告示牌
jungle_sign	丛林木告示牌
acacia_sign	金合欢木告示牌
dark_oak_sign	深色橡木告示牌
flower_banner_pattern	旗帜图案（花朵盾徽）
creeper_banner_pattern	旗帜图案（苦力怕盾徽）
skull_banner_pattern	旗帜图案（头颅盾徽）
mojang_banner_pattern	旗帜图案（Mojang徽标）
field_masoned_banner_pattern	旗帜图案（砖纹）
bordure_indented_banner_pattern	旗帜图案（波纹边）
piglin_banner_pattern	旗帜图案（猪鼻）
globe_banner_pattern	旗帜图案（地球）
campfire	营火
suspicious_stew	谜之炖菜
honeycomb	蜜脾
honey_bottle	蜂蜜瓶
camera	相机
compound	化合物
ice_bomb	冰弹
bleach	漂白剂
rapid_fertilizer	超级肥料
balloon	气球
medicine	药物
sparkler	烟花棒
glow_stick	荧光棒
lodestone_compass	磁石指针
netherite_ingot	下界合金锭
netherite_sword	下界合金剑
netherite_shovel	下界合金锹
netherite_pickaxe	下界合金镐
netherite_axe	下界合金斧
netherite_hoe	下界合金锄
netherite_helmet	下界合金头盔
netherite_chestplate	下界合金胸甲
netherite_leggings	下界合金护腿
netherite_boots	下界合金靴子
netherite_scrap	下界合金碎片
crimson_sign	绯红木告示牌
warped_sign	诡异木告示牌
crimson_door	绯红木门
warped_door	诡异木门
warped_fungus_on_a_stick	诡异菌钓竿
chain	锁链
music_disc_pigstep	音乐唱片（Pigstep）
nether_sprouts	下界苗
soul_campfire	灵魂营火
glow_frame	荧光物品展示框
amethyst_shard	紫水晶碎片
spyglass	望远镜
music_disc_otherside	音乐唱片（otherside）
goat_horn	山羊角
frog_spawn_egg	生成青蛙
tadpole_spawn_egg	生成蝌蚪
tadpole_bucket	蝌蚪桶
allay_spawn_egg	生成悦灵
warden_spawn_egg	生成监守者
mangrove_door	红树木门
mangrove_sign	红树木告示牌
mangrove_boat	红树木船
music_disc_	音乐唱片（）
disc_fragment_	唱片残片（）
oak_chest_boat	橡木运输船
birch_chest_boat	白桦木运输船
jungle_chest_boat	丛林木运输船
spruce_chest_boat	云杉木运输船
acacia_chest_boat	金合欢木运输船
dark_oak_chest_boat	深色橡木运输船
mangrove_chest_boat	红树木运输船
chest_boat	运输船
recovery_compass	追溯指针
echo_shard	回响碎片
trader_llama_spawn_egg	生成行商羊驼
cherry_boat	樱花木船
cherry_chest_boat	樱花木运输船


































































































































































































































































































































































































































